,time,u0,u10000,u20000,u30000,u40000,u50000,u60000,u70000,u80000,u90000,u100000
40,2016-02-24 06:00:00,-3.02999997139,-3.02999997139,-3.02999997139,-3.02999997139,-3.02999997139,-3.02999997139,-3.02999997139,-3.02999997139,-3.02999997139,-3.02999997139,-3.02999997139
41,2016-02-24 09:00:00,-3.19000005722,-3.19000005722,-3.19000005722,-3.19000005722,-3.19000005722,-3.19000005722,-3.19000005722,-3.19000005722,-3.19000005722,-3.19000005722,-3.19000005722
42,2016-02-24 12:00:00,-5.36000013351,-5.36000013351,-5.36000013351,-5.36000013351,-5.36000013351,-5.36000013351,-5.36000013351,-5.36000013351,-5.36000013351,-5.36000013351,-5.36000013351
43,2016-02-24 15:00:00,-1.58000004292,-1.58000004292,-1.58000004292,-1.58000004292,-1.58000004292,-1.58000004292,-1.58000004292,-1.58000004292,-1.58000004292,-1.58000004292,-1.58000004292
44,2016-02-24 18:00:00,-2.84999990463,-2.84999990463,-2.84999990463,-2.84999990463,-2.84999990463,-2.84999990463,-2.84999990463,-2.84999990463,-2.84999990463,-2.84999990463,-2.84999990463
45,2016-02-24 21:00:00,2.23000001907,2.23000001907,2.23000001907,2.23000001907,2.23000001907,2.23000001907,2.23000001907,2.23000001907,2.23000001907,2.23000001907,2.23000001907
46,2016-02-25 00:00:00,6.53999996185,6.53999996185,6.53999996185,6.53999996185,6.53999996185,6.53999996185,6.53999996185,6.53999996185,6.53999996185,6.53999996185,6.53999996185
47,2016-02-25 03:00:00,9.63000011444,9.63000011444,9.63000011444,9.63000011444,9.63000011444,9.63000011444,9.63000011444,9.63000011444,9.63000011444,9.63000011444,9.63000011444
48,2016-02-25 06:00:00,13.0399999619,13.0399999619,13.0399999619,13.0399999619,13.0399999619,13.0399999619,13.0399999619,13.0399999619,13.0399999619,13.0399999619,13.0399999619
49,2016-02-25 09:00:00,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75
50,2016-02-25 12:00:00,6.80999994278,6.80999994278,6.80999994278,6.80999994278,6.80999994278,6.80999994278,6.80999994278,6.80999994278,6.80999994278,6.80999994278,6.80999994278
51,2016-02-25 15:00:00,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
52,2016-02-25 18:00:00,9.47999954224,9.47999954224,9.47999954224,9.47999954224,9.47999954224,9.47999954224,9.47999954224,9.47999954224,9.47999954224,9.47999954224,9.47999954224
53,2016-02-25 21:00:00,8.65999984741,8.65999984741,8.65999984741,8.65999984741,8.65999984741,8.65999984741,8.65999984741,8.65999984741,8.65999984741,8.65999984741,8.65999984741
54,2016-02-26 00:00:00,5.11999988556,5.11999988556,5.11999988556,5.11999988556,5.11999988556,5.11999988556,5.11999988556,5.11999988556,5.11999988556,5.11999988556,5.11999988556
55,2016-02-26 03:00:00,5.26999998093,5.26999998093,5.26999998093,5.26999998093,5.26999998093,5.26999998093,5.26999998093,5.26999998093,5.26999998093,5.26999998093,5.26999998093
56,2016-02-26 06:00:00,1.62000000477,1.62000000477,1.62000000477,1.62000000477,1.62000000477,1.62000000477,1.62000000477,1.62000000477,1.62000000477,1.62000000477,1.62000000477
